phase,cycle,slot,active_cap,backend_slots,script_delay_ms,elapsed_us,phase_outcome,acceptance,error
steady,0,0,1,2,100,126638,completed,unchecked,
steady,1,0,1,2,100,124533,completed,unchecked,
steady,2,0,1,2,100,124165,completed,unchecked,
steady,3,0,1,2,100,124958,completed,unchecked,
steady,4,0,1,2,100,123663,completed,unchecked,
steady,5,0,1,2,100,123311,completed,unchecked,
steady,6,0,1,2,100,123495,completed,unchecked,
steady,7,0,1,2,100,125130,completed,unchecked,
steady,8,0,1,2,100,125858,completed,unchecked,
steady,9,0,1,2,100,125984,completed,unchecked,
steady,10,0,1,2,100,125535,completed,unchecked,
steady,11,0,1,2,100,123954,completed,unchecked,
steady,12,0,1,2,100,125537,completed,unchecked,
steady,13,0,1,2,100,123736,completed,unchecked,
steady,14,0,1,2,100,125935,completed,unchecked,
steady,15,0,1,2,100,124608,completed,unchecked,
steady,16,0,1,2,100,123000,completed,unchecked,
steady,17,0,1,2,100,124545,completed,unchecked,
steady,18,0,1,2,100,125339,completed,unchecked,
steady,19,0,1,2,100,123809,completed,unchecked,
