"elapsed_ms","working_set_bytes","private_bytes","cpu_seconds"
"4","3186688","516096","0"
"1038","10293248","2912256","0.046875"
"2055","10502144","3133440","0.046875"
"3062","10735616","3317760","0.0625"
"4085","10858496","3432448","0.109375"
"5099","11051008","3633152","0.125"
"6119","11177984","3842048","0.140625"
"7127","11317248","3977216","0.203125"
"8136","11337728","3989504","0.25"
"9153","11481088","4124672","0.28125"
"10168","11489280","4124672","0.296875"
"11181","11632640","4280320","0.375"
"12202","11624448","4263936","0.40625"
"13213","11788288","4452352","0.4375"
"14231","11788288","4452352","0.484375"
"15252","11939840","4587520","0.484375"
"16272","11931648","4587520","0.515625"
"17296","11931648","4567040","0.53125"
"18317","12062720","4722688","0.546875"
"19328","12066816","4722688","0.609375"
"20338","12316672","4997120","0.6875"
"21348","12242944","4952064","0.703125"
"22367","12279808","4960256","0.71875"
"23378","12304384","4960256","0.71875"
"24401","12316672","5005312","0.734375"
"25411","12566528","5279744","0.75"
"26431","12578816","5279744","0.765625"
"27447","12566528","5279744","0.765625"
"28458","12566528","5279744","0.78125"
"29465","12570624","5279744","0.78125"
"30485","12517376","5181440","0.78125"
"31495","12521472","5181440","0.796875"
"32503","12537856","5181440","0.8125"
"33526","12546048","5181440","0.828125"
