phase,cycle,slot,active_cap,backend_slots,script_delay_ms,elapsed_us,phase_outcome,acceptance,error
initial,0,1,4,2,100,143218,completed,unchecked,
initial,0,0,4,2,100,143299,completed,unchecked,
initial,0,3,4,2,100,263144,completed,unchecked,
initial,0,2,4,2,100,263208,completed,unchecked,
initial,1,0,4,2,100,122330,completed,unchecked,
initial,1,1,4,2,100,128671,completed,unchecked,
initial,1,2,4,2,100,228320,completed,unchecked,
initial,1,3,4,2,100,244372,completed,unchecked,
initial,2,0,4,2,100,124924,completed,unchecked,
initial,2,1,4,2,100,131247,completed,unchecked,
initial,2,2,4,2,100,237160,completed,unchecked,
initial,2,3,4,2,100,241668,completed,unchecked,
initial,3,1,4,2,100,138042,completed,unchecked,
initial,3,0,4,2,100,138111,completed,unchecked,
initial,3,3,4,2,100,257974,completed,unchecked,
initial,3,2,4,2,100,258030,completed,unchecked,
initial,4,1,4,2,100,143023,completed,unchecked,
initial,4,0,4,2,100,143089,completed,unchecked,
initial,4,2,4,2,100,262508,completed,unchecked,
initial,4,3,4,2,100,262526,completed,unchecked,
initial,5,0,4,2,100,121603,completed,unchecked,
initial,5,1,4,2,100,127921,completed,unchecked,
initial,5,2,4,2,100,227947,completed,unchecked,
initial,5,3,4,2,100,242875,completed,unchecked,
initial,6,0,4,2,100,132713,completed,unchecked,
initial,6,1,4,2,100,132725,completed,unchecked,
initial,6,3,4,2,100,253187,completed,unchecked,
initial,6,2,4,2,100,253241,completed,unchecked,
initial,7,0,4,2,100,144285,completed,unchecked,
initial,7,1,4,2,100,144301,completed,unchecked,
initial,7,3,4,2,100,261981,completed,unchecked,
initial,7,2,4,2,100,262036,completed,unchecked,
initial,8,0,4,2,100,121911,completed,unchecked,
initial,8,1,4,2,100,128187,completed,unchecked,
initial,8,2,4,2,100,228008,completed,unchecked,
initial,8,3,4,2,100,243952,completed,unchecked,
initial,9,1,4,2,100,134031,completed,unchecked,
initial,9,0,4,2,100,134100,completed,unchecked,
initial,9,3,4,2,100,254786,completed,unchecked,
initial,9,2,4,2,100,254855,completed,unchecked,
slow,0,1,4,2,400,438001,completed,unchecked,
slow,0,0,4,2,400,438079,completed,unchecked,
slow,0,3,4,2,400,864943,completed,unchecked,
slow,0,2,4,2,400,865003,completed,unchecked,
slow,1,0,4,2,400,454668,completed,unchecked,
slow,1,1,4,2,400,454682,completed,unchecked,
slow,1,2,4,2,400,872597,completed,unchecked,
slow,1,3,4,2,400,872629,completed,unchecked,
slow,2,1,4,2,400,453271,completed,unchecked,
slow,2,0,4,2,400,453351,completed,unchecked,
slow,2,3,4,2,400,885567,completed,unchecked,
slow,2,2,4,2,400,885628,completed,unchecked,
slow,3,0,4,2,400,438267,completed,unchecked,
slow,3,1,4,2,400,438270,completed,unchecked,
slow,3,2,4,2,400,844220,completed,unchecked,
slow,3,3,4,2,400,846599,completed,unchecked,
slow,4,1,4,2,400,450822,completed,unchecked,
slow,4,0,4,2,400,450873,completed,unchecked,
slow,4,2,4,2,400,875322,completed,unchecked,
slow,4,3,4,2,400,875347,completed,unchecked,
slow,5,1,4,2,400,439961,completed,unchecked,
slow,5,0,4,2,400,440042,completed,unchecked,
slow,5,2,4,2,400,869377,completed,unchecked,
slow,5,3,4,2,400,869407,completed,unchecked,
slow,6,0,4,2,400,423186,completed,unchecked,
slow,6,1,4,2,400,429131,completed,unchecked,
slow,6,3,4,2,400,855147,completed,unchecked,
slow,6,2,4,2,400,855218,completed,unchecked,
slow,7,1,4,2,400,450772,completed,unchecked,
slow,7,0,4,2,400,450836,completed,unchecked,
slow,7,3,4,2,400,865753,completed,unchecked,
slow,7,2,4,2,400,865810,completed,unchecked,
slow,8,1,4,2,400,453338,completed,unchecked,
slow,8,0,4,2,400,453382,completed,unchecked,
slow,8,3,4,2,400,865481,completed,unchecked,
slow,8,2,4,2,400,865548,completed,unchecked,
slow,9,1,4,2,400,457403,completed,unchecked,
slow,9,0,4,2,400,457439,completed,unchecked,
slow,9,3,4,2,400,869807,completed,unchecked,
slow,9,2,4,2,400,869842,completed,unchecked,
recovered,0,1,4,2,100,142783,completed,unchecked,
