index,total_us,admission_us,journal_before_terminal_ms,terminal_event_ms,terminal_tail_upper_us,model_duration_ms
0,10668,2432,6,8,2668,0
1,9833,2175,3,7,2833,0
2,10078,2247,4,8,2078,0
3,10717,2150,3,7,3717,0
4,10785,2810,3,8,2785,0
5,10024,2040,3,7,3024,0
6,11425,2090,5,8,3425,0
7,10053,2327,3,8,2053,0
8,10132,2096,4,7,3132,0
9,9673,2052,3,7,2673,0
10,10293,2102,4,8,2293,0
11,9785,2083,3,7,2785,0
12,10346,2727,3,8,2346,0
13,9784,2024,3,7,2784,0
14,10175,2295,4,8,2175,0
15,10034,2121,4,8,2034,0
16,9991,2060,4,7,2991,0
17,10005,2187,3,7,3005,0
18,10160,2084,3,8,2160,0
19,10151,2202,3,8,2151,0
20,12188,2150,4,8,4188,0
21,10015,2154,3,7,3015,0
22,10146,2038,4,8,2146,0
23,16201,2234,9,14,2201,0
24,13939,2113,3,7,6939,0
25,14550,5577,6,12,2550,0
26,10500,2266,3,8,2500,0
27,10849,2244,5,8,2849,0
28,10187,2163,3,8,2187,0
29,10803,2253,5,8,2803,0
30,10461,2266,3,8,2461,0
31,10576,2304,4,8,2576,0
32,10611,2386,4,8,2611,0
33,10666,2209,4,8,2666,0
34,16805,3068,10,14,2805,0
35,10403,2086,5,8,2403,0
36,10084,2152,3,7,3084,0
37,10241,2079,4,7,3241,0
38,10000,2189,3,7,3000,0
39,9945,2124,3,7,2945,0
40,10138,2100,3,7,3138,0
41,10118,2115,3,8,2118,0
42,10024,2109,3,7,3024,0
43,10365,2244,4,8,2365,0
44,10197,2213,3,8,2197,0
45,9962,2169,3,7,2962,0
46,9994,2085,3,7,2994,0
47,10085,2192,3,8,2085,0
48,10003,2175,3,8,2003,0
49,9805,1977,3,7,2805,0
50,10019,2086,3,7,3019,0
51,10091,2167,3,7,3091,0
52,10212,2245,3,8,2212,0
53,10177,2110,3,8,2177,0
54,10478,2395,3,8,2478,0
55,10300,2203,3,8,2300,0
56,10341,2185,4,8,2341,0
57,9920,2172,3,7,2920,0
58,9916,2124,3,7,2916,0
59,10078,2143,3,8,2078,0
60,9799,2083,3,7,2799,0
61,9990,2158,3,7,2990,0
62,10116,2250,3,8,2116,0
63,10095,2143,3,7,3095,0
64,10068,2137,3,7,3068,0
65,10009,2120,3,7,3009,0
66,9931,2102,3,7,2931,0
67,10096,2155,3,7,3096,0
68,10119,2036,3,8,2119,0
69,10727,2906,3,8,2727,0
70,10260,2224,3,8,2260,0
71,10042,2112,3,7,3042,0
72,9978,2127,3,7,2978,0
73,9950,2144,3,7,2950,0
74,9747,2071,3,7,2747,0
75,9890,2092,3,7,2890,0
76,10169,2145,3,7,3169,0
77,9897,2045,3,7,2897,0
78,9960,2131,3,7,2960,0
79,10243,2127,4,7,3243,0
80,9954,2094,3,7,2954,0
81,10169,2132,4,8,2169,0
82,10226,2146,3,8,2226,0
83,10015,2135,3,7,3015,0
84,9915,2107,3,7,2915,0
85,16019,2067,10,13,3019,0
86,10180,2085,4,8,2180,0
87,10101,2237,3,8,2101,0
88,9996,2149,3,7,2996,0
89,10261,2170,4,8,2261,0
90,10107,2162,4,8,2107,0
91,10123,2233,3,8,2123,0
92,9995,2105,3,7,2995,0
93,9854,2054,3,7,2854,0
94,10150,2202,3,7,3150,0
95,10085,2134,3,7,3085,0
96,10117,2145,3,8,2117,0
97,13920,2192,7,11,2920,0
98,10242,2099,4,8,2242,0
99,10043,2091,3,7,3043,0
100,9940,2117,3,7,2940,0
101,10064,2256,3,8,2064,0
102,10030,2077,3,7,3030,0
103,9996,2149,3,7,2996,0
104,10389,2172,5,8,2389,0
105,10383,2229,4,8,2383,0
106,10201,2172,4,8,2201,0
107,10187,2196,4,8,2187,0
108,10130,2203,3,8,2130,0
109,10261,2192,3,8,2261,0
110,10186,2211,3,8,2186,0
111,10122,2128,4,8,2122,0
112,10171,2213,3,8,2171,0
113,10322,2169,4,8,2322,0
114,10239,2158,4,8,2239,0
115,10026,2186,3,7,3026,0
116,10183,2238,3,8,2183,0
117,10438,2359,3,8,2438,0
118,10414,2197,4,8,2414,0
119,9968,2107,4,7,2968,0
120,10183,2236,3,8,2183,0
121,10080,2242,3,8,2080,0
122,10142,2118,3,7,3142,0
123,10058,2125,3,7,3058,0
124,10133,2121,4,8,2133,0
125,10136,2237,3,7,3136,0
126,10013,2150,3,8,2013,0
127,9952,2120,3,7,2952,0
128,9999,2061,3,7,2999,0
129,10211,2129,3,8,2211,0
130,9971,2087,3,7,2971,0
131,10339,2091,3,8,2339,0
132,10431,2252,5,8,2431,0
133,10220,2180,4,8,2220,0
134,10213,2141,3,8,2213,0
135,14739,2195,4,8,6739,0
136,12452,4087,6,10,2452,0
137,10397,2211,4,8,2397,0
138,10275,2145,4,8,2275,0
139,10399,2174,5,8,2399,0
140,11160,2443,6,8,3160,0
141,10304,2295,3,8,2304,0
142,10356,2269,4,8,2356,0
143,10341,2211,3,8,2341,0
144,10389,2231,5,8,2389,0
145,10539,2250,5,8,2539,0
146,10697,2221,6,8,2697,0
147,10304,2210,3,8,2304,0
148,10359,2171,4,8,2359,0
149,10363,2143,4,8,2363,0
150,10305,2231,3,8,2305,0
151,10543,2302,5,8,2543,0
152,10574,2203,5,8,2574,0
153,10400,2142,6,8,2400,0
154,11379,3043,5,9,2379,0
155,10827,2351,5,8,2827,0
156,10230,2143,4,8,2230,0
157,10454,2168,4,8,2454,0
158,10347,2162,4,8,2347,0
159,10595,2252,6,8,2595,0
160,10463,2220,4,8,2463,0
161,10660,2137,6,8,2660,0
162,10433,2191,5,8,2433,0
163,10945,2413,5,8,2945,0
164,10821,2259,5,8,2821,0
165,10431,2188,4,8,2431,0
166,10407,2187,5,8,2407,0
167,10878,2321,6,8,2878,0
168,10402,2234,4,8,2402,0
169,10518,2341,4,8,2518,0
170,10368,2226,4,8,2368,0
171,10596,2325,4,8,2596,0
172,10372,2218,3,8,2372,0
173,10498,2183,5,8,2498,0
174,10284,2179,4,8,2284,0
175,10335,2170,4,8,2335,0
176,10355,2321,4,8,2355,0
177,10315,2167,4,8,2315,0
178,10746,2234,6,8,2746,0
179,10287,2226,3,8,2287,0
180,10376,2117,4,8,2376,0
181,10347,2175,4,8,2347,0
182,10316,2220,3,8,2316,0
183,10506,2225,5,8,2506,0
184,10503,2155,5,8,2503,0
185,17560,2269,11,15,2560,0
186,10521,2231,6,8,2521,0
187,10625,2254,6,8,2625,0
188,10368,2162,5,8,2368,0
189,10335,2230,3,8,2335,0
190,10667,2234,5,8,2667,0
191,10550,2252,5,8,2550,0
192,10673,2196,6,8,2673,0
193,10569,2315,5,8,2569,0
194,10627,2219,6,8,2627,0
195,11008,2289,6,8,3008,0
196,10679,2230,6,8,2679,0
197,10804,2325,6,8,2804,0
198,10658,2391,5,8,2658,0
199,10667,2343,6,8,2667,0
200,10638,2256,6,8,2638,0
201,10779,2287,6,8,2779,0
202,10610,2252,6,8,2610,0
203,14240,2234,8,12,2240,0
204,10711,2303,5,8,2711,0
205,10776,2313,6,8,2776,0
206,10553,2292,4,8,2553,0
207,10521,2254,4,8,2521,0
208,10817,2289,6,8,2817,0
209,10804,2288,6,8,2804,0
210,10683,2314,6,8,2683,0
211,10831,2309,6,8,2831,0
212,10628,2188,5,8,2628,0
213,10541,2248,5,8,2541,0
214,10766,2333,6,8,2766,0
215,10615,2228,5,8,2615,0
216,10394,2178,5,8,2394,0
217,10646,2351,5,8,2646,0
218,10652,2308,5,8,2652,0
219,10558,2214,5,8,2558,0
220,10330,2088,4,8,2330,0
221,10163,2155,4,8,2163,0
222,10383,2180,5,8,2383,0
223,10487,2169,5,8,2487,0
224,10164,2136,3,8,2164,0
225,10376,2207,5,8,2376,0
226,10735,2251,4,8,2735,0
227,10282,2240,4,8,2282,0
228,10053,2195,3,8,2053,0
229,10252,2247,3,8,2252,0
230,10310,2203,4,8,2310,0
231,9984,2127,3,7,2984,0
232,10181,2166,4,8,2181,0
233,10603,2217,6,8,2603,0
234,10471,2172,6,8,2471,0
235,10467,2222,4,8,2467,0
236,10481,2215,4,8,2481,0
237,15863,2268,10,13,2863,0
238,10445,2274,4,8,2445,0
239,10567,2247,6,8,2567,0
240,10614,2271,6,8,2614,0
241,10568,2211,5,8,2568,0
242,10444,2220,5,8,2444,0
243,10477,2213,4,8,2477,0
244,10643,2318,6,8,2643,0
245,10707,2208,6,8,2707,0
246,10632,2270,6,8,2632,0
247,11811,3504,6,9,2811,0
248,10428,2237,5,8,2428,0
249,10509,2208,5,8,2509,0
250,10770,2354,5,8,2770,0
251,10405,2218,5,8,2405,0
252,10315,2188,5,8,2315,0
253,10695,2308,6,8,2695,0
254,10681,2218,5,8,2681,0
255,10453,2204,5,8,2453,0
256,10552,2194,6,8,2552,0
257,10606,2190,6,8,2606,0
