index,total_us,admission_us,journal_before_terminal_ms,terminal_event_ms,terminal_tail_upper_us,model_duration_ms
0,10397,2235,4,8,2397,0
1,10083,2158,3,7,3083,0
2,10277,2310,3,8,2277,0
3,10514,2426,3,8,2514,0
4,10112,2111,3,7,3112,0
5,13754,2309,7,11,2754,0
6,10357,2132,4,8,2357,0
7,10421,2131,6,8,2421,0
8,10056,2084,4,8,2056,0
9,9970,2081,3,7,2970,0
10,9966,2139,3,7,2966,0
11,11695,3130,4,9,2695,0
12,10423,2185,4,8,2423,0
13,10288,2252,3,8,2288,0
14,10415,2181,3,8,2415,0
15,10219,2238,3,8,2219,0
16,10209,2028,4,8,2209,0
17,10300,2148,5,8,2300,0
18,10310,2280,3,8,2310,0
19,10236,2281,3,8,2236,0
20,10455,2183,5,8,2455,0
21,10449,2249,4,8,2449,0
22,11196,2174,4,8,3196,0
23,10190,2235,3,8,2190,0
24,10380,2114,5,8,2380,0
25,10501,2409,4,8,2501,0
26,10211,2291,3,8,2211,0
27,10194,2164,4,8,2194,0
28,10309,2137,3,8,2309,0
29,10009,2079,4,7,3009,0
30,11269,2068,6,9,2269,0
31,10432,2102,5,8,2432,0
32,10368,2245,4,8,2368,0
33,11084,2603,5,8,3084,0
34,14699,2328,9,12,2699,0
35,10190,2153,3,8,2190,0
36,9948,2097,3,7,2948,0
37,10327,2091,5,8,2327,0
38,10232,2330,4,8,2232,0
39,10228,2205,4,8,2228,0
40,10259,2162,3,8,2259,0
41,10197,2257,3,8,2197,0
42,10481,2337,4,8,2481,0
43,10345,2160,5,8,2345,0
44,10397,2242,4,8,2397,0
45,10179,2220,3,8,2179,0
46,10357,2144,5,8,2357,0
47,10076,2059,4,8,2076,0
48,10036,2109,3,7,3036,0
49,12379,2093,5,9,3379,0
50,11565,3685,4,9,2565,0
51,10115,2169,3,7,3115,0
52,10166,2106,3,7,3166,0
53,10018,2175,3,7,3018,0
54,10042,2070,3,7,3042,0
55,10115,2150,3,8,2115,0
56,10203,2139,4,8,2203,0
57,10091,2089,4,8,2091,0
58,10098,2166,3,8,2098,0
59,10549,2359,4,8,2549,0
60,10015,2217,3,7,3015,0
61,10291,2227,3,8,2291,0
62,9908,2097,3,7,2908,0
63,10841,2152,4,8,2841,0
64,10255,2191,4,8,2255,0
65,9934,2161,3,7,2934,0
66,10651,2230,6,8,2651,0
67,10507,2276,4,8,2507,0
68,10220,2242,4,8,2220,0
69,10400,2218,4,8,2400,0
