"elapsed_ms","working_set_bytes","private_bytes","cpu_seconds"
"4","4009984","561152","0.015625"
"1036","10690560","4050944","0.21875"
"2053","11345920","4620288","0.40625"
"3071","11821056","5013504","0.65625"
"4090","12656640","5828608","0.796875"
"5112","13123584","6221824","0.890625"
"6120","13135872","6221824","0.96875"
"7132","13443072","6582272","1"
"8154","13594624","6631424","1.03125"
"9167","13893632","6959104","1.109375"
"10175","14045184","7053312","1.234375"
"11196","14262272","7184384","1.375"
"12215","14548992","7397376","1.453125"
"13224","14680064","7462912","1.546875"
