experiment,index,elapsed_us,admission_us,phase,acceptance
warm,0,10397,2235,completed,unchecked
warm,1,10083,2158,completed,unchecked
warm,2,10277,2310,completed,unchecked
warm,3,10514,2426,completed,unchecked
warm,4,10112,2111,completed,unchecked
warm,5,13754,2309,completed,unchecked
warm,6,10357,2132,completed,unchecked
warm,7,10421,2131,completed,unchecked
warm,8,10056,2084,completed,unchecked
warm,9,9970,2081,completed,unchecked
warm,10,9966,2139,completed,unchecked
warm,11,11695,3130,completed,unchecked
warm,12,10423,2185,completed,unchecked
warm,13,10288,2252,completed,unchecked
warm,14,10415,2181,completed,unchecked
warm,15,10219,2238,completed,unchecked
warm,16,10209,2028,completed,unchecked
warm,17,10300,2148,completed,unchecked
warm,18,10310,2280,completed,unchecked
warm,19,10236,2281,completed,unchecked
warm,20,10455,2183,completed,unchecked
warm,21,10449,2249,completed,unchecked
warm,22,11196,2174,completed,unchecked
warm,23,10190,2235,completed,unchecked
warm,24,10380,2114,completed,unchecked
warm,25,10501,2409,completed,unchecked
warm,26,10211,2291,completed,unchecked
warm,27,10194,2164,completed,unchecked
warm,28,10309,2137,completed,unchecked
warm,29,10009,2079,completed,unchecked
warm,30,11269,2068,completed,unchecked
warm,31,10432,2102,completed,unchecked
warm,32,10368,2245,completed,unchecked
warm,33,11084,2603,completed,unchecked
warm,34,14699,2328,completed,unchecked
warm,35,10190,2153,completed,unchecked
warm,36,9948,2097,completed,unchecked
warm,37,10327,2091,completed,unchecked
warm,38,10232,2330,completed,unchecked
warm,39,10228,2205,completed,unchecked
warm,40,10259,2162,completed,unchecked
warm,41,10197,2257,completed,unchecked
warm,42,10481,2337,completed,unchecked
warm,43,10345,2160,completed,unchecked
warm,44,10397,2242,completed,unchecked
warm,45,10179,2220,completed,unchecked
warm,46,10357,2144,completed,unchecked
warm,47,10076,2059,completed,unchecked
warm,48,10036,2109,completed,unchecked
warm,49,12379,2093,completed,unchecked
warm,50,11565,3685,completed,unchecked
warm,51,10115,2169,completed,unchecked
warm,52,10166,2106,completed,unchecked
warm,53,10018,2175,completed,unchecked
warm,54,10042,2070,completed,unchecked
warm,55,10115,2150,completed,unchecked
warm,56,10203,2139,completed,unchecked
warm,57,10091,2089,completed,unchecked
warm,58,10098,2166,completed,unchecked
warm,59,10549,2359,completed,unchecked
warm,60,10015,2217,completed,unchecked
warm,61,10291,2227,completed,unchecked
warm,62,9908,2097,completed,unchecked
warm,63,10841,2152,completed,unchecked
warm,64,10255,2191,completed,unchecked
warm,65,9934,2161,completed,unchecked
warm,66,10651,2230,completed,unchecked
warm,67,10507,2276,completed,unchecked
warm,68,10220,2242,completed,unchecked
warm,69,10400,2218,completed,unchecked
warm,70,10668,2363,completed,unchecked
warm,71,10529,2145,completed,unchecked
warm,72,10607,2291,completed,unchecked
warm,73,10451,2227,completed,unchecked
warm,74,10434,2280,completed,unchecked
warm,75,11158,2195,completed,unchecked
warm,76,10844,2402,completed,unchecked
warm,77,10399,2109,completed,unchecked
warm,78,12962,2257,completed,unchecked
warm,79,10489,2249,completed,unchecked
warm,80,10379,2247,completed,unchecked
warm,81,10745,2236,completed,unchecked
warm,82,10663,2174,completed,unchecked
warm,83,10486,2259,completed,unchecked
warm,84,10469,2337,completed,unchecked
warm,85,10483,2158,completed,unchecked
warm,86,18814,8556,completed,unchecked
warm,87,10474,2128,completed,unchecked
warm,88,10452,2339,completed,unchecked
warm,89,12494,2580,completed,unchecked
warm,90,10620,2342,completed,unchecked
warm,91,10716,2217,completed,unchecked
warm,92,10488,2266,completed,unchecked
warm,93,10461,2149,completed,unchecked
warm,94,10403,2252,completed,unchecked
warm,95,10258,2161,completed,unchecked
warm,96,10019,2137,completed,unchecked
warm,97,10174,2131,completed,unchecked
warm,98,10222,2226,completed,unchecked
warm,99,10186,2138,completed,unchecked
warm,100,10329,2179,completed,unchecked
warm,101,9925,2151,completed,unchecked
warm,102,9948,2054,completed,unchecked
warm,103,9863,2192,completed,unchecked
warm,104,9891,2137,completed,unchecked
warm,105,10015,2134,completed,unchecked
warm,106,11240,2168,completed,unchecked
warm,107,9701,2044,completed,unchecked
warm,108,9850,2032,completed,unchecked
warm,109,9860,2063,completed,unchecked
warm,110,9977,2157,completed,unchecked
warm,111,10114,2092,completed,unchecked
warm,112,9957,2136,completed,unchecked
warm,113,11573,2260,completed,unchecked
warm,114,10412,2304,completed,unchecked
warm,115,10012,2104,completed,unchecked
warm,116,10282,2383,completed,unchecked
warm,117,10077,2129,completed,unchecked
warm,118,9913,2084,completed,unchecked
warm,119,10067,2183,completed,unchecked
warm,120,10066,2051,completed,unchecked
warm,121,10251,2164,completed,unchecked
warm,122,10112,2140,completed,unchecked
warm,123,10238,2149,completed,unchecked
warm,124,10060,2150,completed,unchecked
warm,125,10202,2202,completed,unchecked
warm,126,10347,2175,completed,unchecked
warm,127,10254,2167,completed,unchecked
warm,128,10141,2178,completed,unchecked
warm,129,10180,2130,completed,unchecked
warm,130,10009,2176,completed,unchecked
warm,131,10333,2165,completed,unchecked
warm,132,10162,2139,completed,unchecked
warm,133,10003,2168,completed,unchecked
warm,134,10192,2133,completed,unchecked
warm,135,14735,6503,completed,unchecked
warm,136,10089,2070,completed,unchecked
warm,137,9986,2136,completed,unchecked
warm,138,14781,5202,completed,unchecked
warm,139,10043,2162,completed,unchecked
warm,140,10116,2166,completed,unchecked
warm,141,9947,2100,completed,unchecked
warm,142,9975,2195,completed,unchecked
warm,143,10296,2207,completed,unchecked
warm,144,10169,2119,completed,unchecked
warm,145,9981,2065,completed,unchecked
warm,146,9992,2143,completed,unchecked
warm,147,10119,2068,completed,unchecked
warm,148,10029,2143,completed,unchecked
warm,149,10065,2166,completed,unchecked
warm,150,9908,2075,completed,unchecked
warm,151,10084,2197,completed,unchecked
warm,152,10125,2157,completed,unchecked
warm,153,10140,2127,completed,unchecked
warm,154,10038,2152,completed,unchecked
warm,155,10016,2169,completed,unchecked
warm,156,10042,2137,completed,unchecked
warm,157,10081,2155,completed,unchecked
warm,158,10125,2095,completed,unchecked
warm,159,9745,2086,completed,unchecked
warm,160,10472,2431,completed,unchecked
warm,161,11029,2161,completed,unchecked
warm,162,10020,2129,completed,unchecked
warm,163,10054,2185,completed,unchecked
warm,164,9924,2125,completed,unchecked
