index,total_us,admission_us,journal_before_terminal_ms,terminal_event_ms,terminal_tail_upper_us,model_duration_ms
0,26907,3825,12,24,2907,7
1,20800,3913,12,18,2800,1
2,24855,2495,12,22,2855,6
3,31833,2850,12,29,2833,12
4,31140,2395,11,28,3140,13
5,16591,3190,7,14,2591,2
6,24862,2463,12,16,8862,0
7,34989,3701,12,32,2989,15
8,30784,2485,14,28,2784,10
9,17530,2384,7,13,4530,2
10,28887,2559,12,26,2887,9
11,19565,2640,9,16,3565,3
12,29911,3992,14,27,2911,7
13,27751,2625,10,25,2751,11
14,17825,2778,8,15,2825,2
15,29213,2528,11,26,3213,11
16,20032,3392,12,17,3032,0
17,40533,8313,13,38,2533,15
18,17194,2281,8,14,3194,3
19,29782,2626,11,27,2782,12
20,30303,2578,11,28,2303,12
21,17211,2363,8,14,3211,3
22,29564,9768,8,27,2564,7
23,29946,2373,11,27,2946,12
24,30905,2558,11,28,2905,12
25,18056,2369,9,15,3056,3
26,27730,2525,10,25,2730,11
27,30501,2392,11,28,2501,13
28,31072,3032,10,28,3072,14
29,21388,3299,8,15,6388,2
30,29934,10617,11,27,2934,4
31,27937,9993,6,25,2937,8
32,29937,2360,10,27,2937,13
33,16583,2398,6,12,4583,3
34,30684,2546,19,28,2684,5
35,31050,2707,11,28,3050,14
36,30149,2307,11,27,3149,13
37,16456,2297,7,14,2456,3
38,29866,2273,10,27,2866,14
39,16759,2316,7,14,2759,4
40,29050,2372,9,26,3050,13
41,31912,2330,11,29,2912,14
42,16809,2692,8,14,2809,2
43,29059,2345,10,26,3059,13
44,30837,2291,13,28,2837,13
45,30328,3496,13,28,2328,10
46,17325,2642,6,14,3325,4
47,30765,2262,11,28,2765,13
48,30984,2361,11,28,2984,14
49,17716,2337,8,15,2716,3
50,30871,11797,8,28,2871,7
51,27163,2604,11,25,2163,10
52,22876,2203,11,19,3876,5
53,28729,2390,14,22,6729,4
54,28761,2483,6,25,3761,15
55,28570,8007,5,26,2570,11
56,30582,2294,9,28,2582,14
57,17125,2126,7,14,3125,5
58,29071,2368,12,26,3071,11
59,16270,2323,6,13,3270,4
60,30261,9114,6,27,3261,11
61,31607,2391,10,29,2607,15
62,30373,2493,10,28,2373,14
63,16699,2274,6,13,3699,4
64,30689,3044,10,28,2689,13
65,31744,2566,20,28,3744,4
66,30222,12240,6,27,3222,8
67,31582,2700,11,28,3582,12
68,29980,2326,20,27,2980,4
69,30762,4177,15,28,2762,8
70,17270,3442,6,13,4270,1
71,29778,2557,12,27,2778,11
72,16464,2560,6,13,3464,4
73,29953,2314,12,27,2953,12
74,31353,2331,10,29,2353,15
75,31106,2489,10,28,3106,14
76,29958,4013,13,27,2958,9
77,30712,2261,9,28,2712,15
78,30439,2256,12,28,2439,13
79,19149,2251,9,15,4149,4
80,30024,2430,14,25,5024,7
81,28092,2511,12,25,3092,10
82,16340,2289,5,13,3340,4
83,29716,2341,10,27,2716,13
84,31517,13394,10,29,2517,3
85,15821,4386,6,13,2821,2
86,31030,2276,13,28,3030,12
