index,cancel_call_us,peer_close_us,terminal_us,phase,acceptance
0,3,78,11900,cancelled,unchecked
1,2,55,14519,cancelled,unchecked
2,3,114,20076,cancelled,unchecked
3,0,59,8601,cancelled,unchecked
4,10,68,4688,cancelled,unchecked
5,0,66,7677,cancelled,unchecked
6,1,75,12223,cancelled,unchecked
7,3,67,13015,cancelled,unchecked
8,0,56,4749,cancelled,unchecked
9,0,52,11107,cancelled,unchecked
10,0,65,20629,cancelled,unchecked
11,2,68,9054,cancelled,unchecked
12,2,70,16545,cancelled,unchecked
13,2,61,4720,cancelled,unchecked
14,2,56,14894,cancelled,unchecked
15,2,83,5035,cancelled,unchecked
16,0,67,21956,cancelled,unchecked
17,1,64,4695,cancelled,unchecked
18,0,62,13678,cancelled,unchecked
19,0,68,4720,cancelled,unchecked
20,8,144,15476,cancelled,unchecked
21,1,81,20043,cancelled,unchecked
22,0,53,6486,cancelled,unchecked
23,0,67,19156,cancelled,unchecked
24,2,64,4805,cancelled,unchecked
25,1,45,4293,cancelled,unchecked
26,2,87,30770,cancelled,unchecked
27,1,69,7690,cancelled,unchecked
28,2,64,4993,cancelled,unchecked
29,0,80,30970,cancelled,unchecked
30,6,83,36036,cancelled,unchecked
31,2,89,6130,cancelled,unchecked
32,3,75,8732,cancelled,unchecked
33,0,63,37479,cancelled,unchecked
34,1,53,5215,cancelled,unchecked
35,0,55,21169,cancelled,unchecked
36,2,80,36699,cancelled,unchecked
37,1,65,5180,cancelled,unchecked
38,2,79,35900,cancelled,unchecked
39,0,59,4913,cancelled,unchecked
40,1,76,36372,cancelled,unchecked
41,1,68,5079,cancelled,unchecked
42,0,56,36081,cancelled,unchecked
43,0,62,5639,cancelled,unchecked
44,0,61,8498,cancelled,unchecked
45,0,48,6064,cancelled,unchecked
46,1,78,10006,cancelled,unchecked
47,2,95,8849,cancelled,unchecked
48,0,64,4494,cancelled,unchecked
49,1,55,9770,cancelled,unchecked
50,0,67,4734,cancelled,unchecked
51,0,65,8589,cancelled,unchecked
52,1,60,11982,cancelled,unchecked
53,0,63,4691,cancelled,unchecked
54,1,64,12203,cancelled,unchecked
55,4,80,4871,cancelled,unchecked
56,0,97,11297,cancelled,unchecked
57,0,59,7991,cancelled,unchecked
58,2,66,9168,cancelled,unchecked
59,0,58,10591,cancelled,unchecked
60,0,65,6582,cancelled,unchecked
61,0,54,4807,cancelled,unchecked
62,2,68,8851,cancelled,unchecked
63,0,56,5436,cancelled,unchecked
64,0,56,6878,cancelled,unchecked
65,1,76,13861,cancelled,unchecked
66,1,62,9744,cancelled,unchecked
67,0,56,8023,cancelled,unchecked
68,0,50,5873,cancelled,unchecked
69,2,49,8152,cancelled,unchecked
70,2,58,9083,cancelled,unchecked
71,0,64,4785,cancelled,unchecked
72,0,63,16339,cancelled,unchecked
73,4,94,11449,cancelled,unchecked
74,2,57,8546,cancelled,unchecked
75,1,71,4787,cancelled,unchecked
76,2,61,12855,cancelled,unchecked
77,1,85,5519,cancelled,unchecked
78,2,52,5803,cancelled,unchecked
79,0,59,11676,cancelled,unchecked
80,1,68,8536,cancelled,unchecked
81,1,68,6393,cancelled,unchecked
82,0,76,14897,cancelled,unchecked
83,2,74,5177,cancelled,unchecked
84,0,56,19719,cancelled,unchecked
85,5,70,8949,cancelled,unchecked
86,2,59,4862,cancelled,unchecked
87,0,64,29507,cancelled,unchecked
88,0,54,13866,cancelled,unchecked
89,1,67,15874,cancelled,unchecked
90,2,130,5101,cancelled,unchecked
91,2,55,36352,cancelled,unchecked
92,1,68,4739,cancelled,unchecked
93,2,82,6428,cancelled,unchecked
94,1,81,11846,cancelled,unchecked
95,0,61,36088,cancelled,unchecked
96,1,82,9811,cancelled,unchecked
97,0,63,6872,cancelled,unchecked
98,0,59,7426,cancelled,unchecked
99,4,59,7225,cancelled,unchecked
