elapsed_ms,pid,working_set_bytes,private_bytes,cpu_seconds
4,20516,3981312,544768,0
1031,20516,10248192,3674112,0.03125
2052,20516,10616832,4009984,0.0625
3073,20516,10846208,4210688,0.109375
4081,20516,11096064,4390912,0.21875
5101,20516,11440128,4734976,0.28125
6111,20516,11554816,4784128,0.375
7124,20516,11735040,4964352,0.484375
8131,20516,12054528,5300224,0.515625
9141,20516,12156928,5320704,0.53125
10151,20516,12566528,5754880,0.59375
11160,20516,12734464,5840896,0.671875
12180,20516,13062144,6189056,0.75
13200,20516,13082624,6189056,0.796875
14209,20516,13508608,6582272,0.875
15220,20516,13565952,6619136,1.046875
16239,20516,13860864,6946816,1.140625
17260,20516,13938688,6946816,1.1875
18280,20516,14012416,7024640,1.25
19296,20516,14020608,7024640,1.34375
20318,20516,14196736,7135232,1.453125
21329,20516,14249984,7192576,1.515625
22339,20516,14319616,7192576,1.578125
23358,20516,14331904,7204864,1.640625
24365,20516,14417920,7290880,1.6875
25387,20516,14454784,7327744,1.734375
26407,20516,14553088,7372800,1.828125
27429,20516,14598144,7405568,1.828125
28449,20516,14598144,7405568,1.875
29471,20516,14598144,7405568,1.90625
30488,20516,14585856,7352320,1.953125
31509,20516,14880768,6590464,2.15625
32520,20516,14942208,6631424,2.296875
33539,20516,15073280,6787072,2.453125
34560,20516,15241216,6840320,2.5
35570,20516,15257600,6852608,2.5625
36580,20516,15310848,6860800,2.65625
37600,20516,15314944,6864896,2.6875
38618,20516,15319040,6868992,2.734375
39640,20516,15319040,6868992,2.796875
40647,20516,15372288,6950912,2.859375
41655,20516,15380480,6950912,2.875
42676,20516,15380480,6950912,2.96875
43683,20516,15417344,7036928,2.96875
44694,20516,15491072,7036928,2.96875
45704,20516,15495168,7036928,2.984375
46711,20516,15499264,7036928,2.984375
47732,20516,15511552,7045120,3.03125
48752,20516,15523840,7045120,3.046875
49759,20516,15527936,7049216,3.078125
50769,20516,15527936,7049216,3.140625
51787,20516,15527936,7049216,3.1875
52795,20516,15527936,7049216,3.203125
53814,20516,15527936,7049216,3.203125
54823,20516,15527936,7049216,3.203125
55841,20516,15527936,7049216,3.234375
56860,20516,15527936,7049216,3.265625
57881,20516,15527936,7049216,3.296875
58890,20516,15527936,7049216,3.34375
59901,20516,15527936,7049216,3.34375
60911,20516,15527936,7049216,3.375
61919,20516,15527936,7049216,3.453125
62941,20516,15527936,7049216,3.5
63951,20516,15527936,7049216,3.5
64958,20516,15527936,7049216,3.5
65980,20516,15532032,7049216,3.53125
66990,20516,15532032,7049216,3.546875
68010,20516,15532032,7049216,3.59375
69017,20516,15532032,7049216,3.609375
70039,20516,15532032,7049216,3.625
71048,20516,15532032,7049216,3.640625
72068,20516,15540224,7049216,3.671875
73088,20516,15552512,7049216,3.71875
74102,20516,15560704,7049216,3.765625
75111,20516,15560704,7049216,3.765625
76118,20516,15560704,7049216,3.796875
77139,20516,15560704,7049216,3.875
78148,20516,15560704,7049216,3.921875
79159,20516,15560704,7049216,3.984375
80165,20516,15560704,7049216,4.03125
81185,20516,15560704,7049216,4.0625
82205,20516,15560704,7049216,4.15625
83220,20516,15560704,7049216,4.203125
84228,20516,15560704,7049216,4.21875
85239,20516,15560704,7049216,4.234375
86247,20516,15560704,7049216,4.234375
87267,20516,15560704,7049216,4.296875
88287,20516,15560704,7049216,4.3125
89299,20516,15560704,7049216,4.34375
90313,20516,15560704,7049216,4.34375
91323,20516,15560704,7049216,4.40625
92331,20516,15560704,7049216,4.4375
93338,20516,15560704,7049216,4.484375
94348,20516,15560704,7049216,4.53125
95363,20516,15560704,7049216,4.59375
96384,20516,15560704,7049216,4.59375
97391,20516,15560704,7049216,4.671875
98410,20516,15560704,7049216,4.703125
99428,20516,15560704,7049216,4.703125
100448,20516,15560704,7049216,4.75
101455,20516,15560704,7049216,4.765625
102463,20516,15560704,7049216,4.796875
103485,20516,15560704,7049216,4.796875
104506,20516,15560704,7049216,4.84375
105515,20516,15560704,7049216,4.875
106536,20516,15560704,7049216,4.921875
107556,20516,15560704,7049216,4.921875
108574,20516,15560704,7049216,4.9375
109581,20516,15560704,7049216,5
110600,20516,15560704,7049216,5
111620,20516,15560704,7049216,5.03125
112642,20516,15560704,7049216,5.0625
113650,20516,15560704,7049216,5.109375
114670,20516,15560704,7049216,5.109375
115682,20516,15560704,7049216,5.234375
116689,20516,15560704,7049216,5.234375
117704,20516,15560704,7049216,5.296875
118713,20516,15560704,7049216,5.296875
119725,20516,15560704,7049216,5.328125
120747,20516,15560704,7049216,5.4375
121757,20516,15560704,7049216,5.46875
122766,20516,15560704,7049216,5.53125
123783,20516,15560704,7049216,5.5625
124802,20516,15560704,7049216,5.5625
125809,20516,15560704,7049216,5.5625
126817,20516,15560704,7049216,5.59375
127838,20516,15560704,7049216,5.671875
128847,20516,15560704,7049216,5.6875
129857,20516,15560704,7049216,5.765625
130873,20516,15560704,7049216,5.796875
131891,20516,15560704,7049216,5.921875
132912,20516,15560704,7049216,5.9375
133932,20516,15560704,7049216,5.96875
134942,20516,15560704,7049216,6
135949,20516,15560704,7049216,6.03125
136959,20516,15560704,7049216,6.0625
137980,20516,15560704,7049216,6.09375
138987,20516,15560704,7049216,6.109375
140010,20516,15560704,7049216,6.109375
141025,20516,15560704,7049216,6.125
142047,20516,15560704,7049216,6.140625
143055,20516,15560704,7049216,6.15625
144064,20516,15560704,7049216,6.171875
145072,20516,15560704,7049216,6.21875
146079,20516,15560704,7049216,6.21875
147093,20516,15560704,7049216,6.25
148100,20516,15560704,7049216,6.265625
149118,20516,15560704,7049216,6.34375
150125,20516,15560704,7049216,6.34375
151136,20516,15560704,7049216,6.34375
152143,20516,15568896,7057408,6.40625
153162,20516,15568896,7057408,6.453125
154172,20516,15568896,7057408,6.484375
155193,20516,15568896,7057408,6.484375
156203,20516,15568896,7057408,6.5
157211,20516,15568896,7057408,6.546875
158220,20516,15568896,7057408,6.578125
159229,20516,15568896,7057408,6.609375
160236,20516,15568896,7057408,6.640625
161245,20516,15572992,7057408,6.6875
162266,20516,15572992,7057408,6.71875
163275,20516,15572992,7057408,6.734375
164283,20516,15572992,7057408,6.765625
165292,20516,15572992,7057408,6.78125
166304,20516,15572992,7057408,6.8125
167325,20516,15572992,7057408,6.828125
