cycle,elapsed_us
0,2
1,3
2,2
3,2
4,3
5,1
6,2
7,2
8,2
9,2
10,1
11,2
12,4
13,2
14,2
15,2
16,2
17,1
18,2
19,2
20,2
21,2
22,2
23,3
24,1
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,1
33,2
34,2
35,3
36,3
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,1
46,1
47,1
48,2
49,2
50,2
51,1
52,2
53,2
54,2
55,2
56,1
57,1
58,1
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,3
70,1
71,2
72,2
73,5
74,2
75,3
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,1
89,2
90,2
91,2
92,1
93,2
94,3
95,3
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,3
109,2
110,2
111,2
112,2
113,2
114,1
115,1
116,2
117,2
118,2
119,2
120,2
121,3
122,2
123,2
124,2
125,2
126,2
127,3
128,2
129,2
130,2
131,2
132,1
133,2
134,3
135,2
136,3
137,2
138,3
139,3
140,2
141,2
142,3
143,2
144,2
145,2
146,2
147,3
148,2
149,2
150,1
151,2
152,2
153,2
154,2
155,1
156,2
157,2
158,2
159,2
160,2
161,3
162,2
163,3
164,2
165,1
166,2
167,2
168,2
169,3
170,2
171,2
172,2
173,2
174,1
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,1
184,2
185,2
186,3
187,6
188,2
189,2
190,2
191,2
192,2
193,3
194,1
195,3
196,2
197,2
198,2
199,2
200,1
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,3
210,4
211,3
212,2
213,2
214,46
215,2
216,2
217,3
218,2
219,2
220,3
221,2
222,2
223,2
224,1
225,3
226,2
227,2
228,4
229,2
230,2
231,2
232,4
233,2
234,1
235,2
236,2
237,2
238,3
239,2
240,2
241,2
242,1
243,1
244,2
245,2
246,2
247,2
248,2
249,2
250,2
251,2
252,2
253,1
254,2
255,2
256,2
257,2
258,1
259,1
260,3
261,1
262,2
263,2
264,2
265,2
266,2
267,2
268,2
269,2
270,2
271,2
272,2
273,2
274,2
275,2
276,1
277,2
278,2
279,2
280,2
281,1
282,2
283,2
284,2
285,1
286,2
287,1
288,2
289,3
290,2
291,3
292,3
293,1
294,5
295,2
296,2
297,2
298,2
299,2
300,2
301,2
302,2
303,2
304,2
305,2
306,2
307,2
308,2
309,2
310,2
311,2
312,2
313,2
314,3
315,2
316,2
317,1
318,2
319,2
320,4
321,3
322,2
323,2
324,2
325,2
326,2
327,1
328,2
329,2
330,2
331,2
332,2
333,3
334,2
335,2
336,1
337,2
338,3
339,2
340,3
341,1
342,2
343,2
344,2
345,2
346,2
347,2
348,2
349,2
350,2
351,2
352,1
353,2
354,2
355,2
356,2
357,2
358,1
359,1
360,2
361,2
362,2
363,2
364,2
365,2
366,2
367,1
368,1
369,2
370,2
371,3
372,1
373,2
374,2
375,2
376,2
377,1
378,2
379,2
380,3
381,2
382,3
383,2
384,2
385,3
386,2
387,2
388,2
389,2
390,1
391,2
392,2
393,1
394,2
395,2
396,2
397,2
398,1
399,2
400,2
401,2
402,1
403,1
404,2
405,3
406,2
407,2
408,1
409,2
410,3
411,2
412,2
413,2
414,2
415,2
416,2
417,2
418,2
419,3
420,2
421,2
422,1
