experiment,index,elapsed_us,admission_us,phase,acceptance
warm,0,26907,3825,completed,unchecked
warm,1,20800,3913,completed,unchecked
warm,2,24855,2495,completed,unchecked
warm,3,31833,2850,completed,unchecked
warm,4,31140,2395,completed,unchecked
warm,5,16591,3190,completed,unchecked
warm,6,24862,2463,completed,unchecked
warm,7,34989,3701,completed,unchecked
warm,8,30784,2485,completed,unchecked
warm,9,17530,2384,completed,unchecked
warm,10,28887,2559,completed,unchecked
warm,11,19565,2640,completed,unchecked
warm,12,29911,3992,completed,unchecked
warm,13,27751,2625,completed,unchecked
warm,14,17825,2778,completed,unchecked
warm,15,29213,2528,completed,unchecked
warm,16,20032,3392,completed,unchecked
warm,17,40533,8313,completed,unchecked
warm,18,17194,2281,completed,unchecked
warm,19,29782,2626,completed,unchecked
warm,20,30303,2578,completed,unchecked
warm,21,17211,2363,completed,unchecked
warm,22,29564,9768,completed,unchecked
warm,23,29946,2373,completed,unchecked
warm,24,30905,2558,completed,unchecked
warm,25,18056,2369,completed,unchecked
warm,26,27730,2525,completed,unchecked
warm,27,30501,2392,completed,unchecked
warm,28,31072,3032,completed,unchecked
warm,29,21388,3299,completed,unchecked
warm,30,29934,10617,completed,unchecked
warm,31,27937,9993,completed,unchecked
warm,32,29937,2360,completed,unchecked
warm,33,16583,2398,completed,unchecked
warm,34,30684,2546,completed,unchecked
warm,35,31050,2707,completed,unchecked
warm,36,30149,2307,completed,unchecked
warm,37,16456,2297,completed,unchecked
warm,38,29866,2273,completed,unchecked
warm,39,16759,2316,completed,unchecked
warm,40,29050,2372,completed,unchecked
warm,41,31912,2330,completed,unchecked
warm,42,16809,2692,completed,unchecked
warm,43,29059,2345,completed,unchecked
warm,44,30837,2291,completed,unchecked
warm,45,30328,3496,completed,unchecked
warm,46,17325,2642,completed,unchecked
warm,47,30765,2262,completed,unchecked
warm,48,30984,2361,completed,unchecked
warm,49,17716,2337,completed,unchecked
warm,50,30871,11797,completed,unchecked
warm,51,27163,2604,completed,unchecked
warm,52,22876,2203,completed,unchecked
warm,53,28729,2390,completed,unchecked
warm,54,28761,2483,completed,unchecked
warm,55,28570,8007,completed,unchecked
warm,56,30582,2294,completed,unchecked
warm,57,17125,2126,completed,unchecked
warm,58,29071,2368,completed,unchecked
warm,59,16270,2323,completed,unchecked
warm,60,30261,9114,completed,unchecked
warm,61,31607,2391,completed,unchecked
warm,62,30373,2493,completed,unchecked
warm,63,16699,2274,completed,unchecked
warm,64,30689,3044,completed,unchecked
warm,65,31744,2566,completed,unchecked
