index,total_us,admission_us,journal_before_terminal_ms,terminal_event_ms,terminal_tail_upper_us,model_duration_ms
0,14602,2490,5,12,2602,3
1,16208,2255,4,14,2208,5
2,14629,2491,6,12,2629,3
3,15035,2164,6,12,3035,4
4,16174,3030,5,13,3174,4
5,14936,2212,5,12,2936,4
6,15978,2236,5,13,2978,5
7,16721,2261,6,14,2721,5
8,14445,2286,6,12,2445,3
9,16148,2303,6,13,3148,4
10,14550,2443,6,12,2550,3
11,18957,2395,6,12,6957,3
12,27484,2500,6,24,3484,15
13,15557,2433,6,13,2557,4
14,16489,2486,6,13,3489,3
15,14892,2327,6,12,2892,3
16,15766,2307,7,13,2766,3
17,15227,2178,6,12,3227,4
18,15433,2379,5,13,2433,4
19,15808,2316,6,13,2808,4
20,15136,2304,6,12,3136,4
21,16085,2325,6,13,3085,5
22,15564,2349,5,13,2564,4
23,15295,2487,6,13,2295,4
24,15981,2237,6,13,2981,5
25,15227,2628,6,13,2227,4
26,15495,2299,6,12,3495,4
27,15737,2265,6,13,2737,4
28,16346,2356,6,14,2346,4
29,14562,2209,6,12,2562,3
30,16047,2527,6,13,3047,4
31,15396,2171,6,12,3396,4
32,15986,2291,6,13,2986,4
33,14971,2540,6,12,2971,3
34,30380,6258,8,28,2380,13
35,15841,2195,5,13,2841,5
36,15586,2146,5,13,2586,5
37,17040,2241,5,13,4040,4
38,13736,2223,6,11,2736,3
39,14444,2267,5,12,2444,3
40,15375,2196,5,13,2375,4
41,15999,2315,6,13,2999,4
42,14817,2372,6,12,2817,3
43,14725,2200,5,12,2725,4
44,16194,2212,6,13,3194,5
45,15440,2264,5,13,2440,4
46,16356,2199,6,13,3356,5
47,15938,2192,5,13,2938,5
48,15659,2287,5,13,2659,5
49,15070,2305,6,12,3070,4
50,15123,2371,4,12,3123,4
51,15263,2295,6,13,2263,4
52,15633,2246,6,13,2633,4
53,15885,2171,5,13,2885,5
54,10726,2286,6,8,2726,0
55,21052,2245,6,18,3052,10
56,14660,2346,6,12,2660,3
57,16189,2169,6,13,3189,5
58,15376,2230,5,13,2376,4
59,16035,2468,5,13,3035,5
60,16031,2239,5,13,3031,5
61,14903,2325,6,12,2903,4
62,15026,2280,5,12,3026,4
63,15942,2328,6,13,2942,5
64,15540,2333,6,13,2540,4
65,15284,2239,6,12,3284,4
66,15983,2479,6,13,2983,4
67,14979,2385,6,12,2979,3
68,16207,2335,6,13,3207,4
69,15954,2296,6,13,2954,4
70,15884,2515,6,13,2884,4
71,16044,2344,6,13,3044,4
72,14862,2417,6,12,2862,3
73,15192,2334,6,12,3192,4
74,14828,2284,6,12,2828,3
75,15104,2328,6,12,3104,3
76,16014,2275,6,13,3014,4
77,15106,2352,6,12,3106,3
78,17489,2505,7,15,2489,4
79,15431,2409,7,13,2431,3
80,14837,2348,6,12,2837,3
81,14884,2321,6,12,2884,3
82,16308,2323,6,13,3308,4
83,16971,2355,6,13,3971,3
84,14040,2475,6,11,3040,2
85,32058,2441,13,29,3058,12
86,14914,2402,6,12,2914,3
87,16201,2299,6,13,3201,4
88,15426,2363,6,13,2426,4
89,14770,2486,6,12,2770,3
90,15295,2337,6,13,2295,4
91,16047,2450,6,13,3047,4
92,15848,2347,6,13,2848,4
93,15071,2283,5,12,3071,4
94,15227,2280,6,12,3227,4
95,15990,2216,6,13,2990,5
96,16107,2281,6,13,3107,4
97,14808,2280,6,12,2808,3
98,15997,2336,6,13,2997,4
99,14981,2196,6,12,2981,4
100,16063,2311,6,13,3063,5
101,15863,2317,6,13,2863,4
102,15614,2285,6,13,2614,4
103,15076,2297,6,12,3076,4
104,16224,2227,6,13,3224,5
105,16079,2306,6,13,3079,4
106,14657,2394,6,12,2657,3
107,15172,2205,6,12,3172,4
108,15667,2311,5,13,2667,4
109,15095,2285,6,12,3095,4
110,15852,2192,6,13,2852,5
111,15404,2344,6,13,2404,4
112,16012,2314,6,13,3012,5
113,16138,2268,6,13,3138,4
114,15286,2321,6,13,2286,4
115,15853,2255,5,13,2853,4
116,14925,2318,6,12,2925,4
117,15292,2344,6,12,3292,4
118,15292,2274,5,13,2292,4
119,14932,2264,6,12,2932,3
120,14814,2197,6,12,2814,4
121,15258,2241,6,12,3258,4
122,15789,2298,6,13,2789,5
123,15101,2331,6,12,3101,4
124,15883,2230,6,13,2883,5
125,16077,2270,6,13,3077,5
126,15503,2342,10,13,2503,0
127,16129,2335,6,13,3129,5
128,15400,2318,6,13,2400,4
129,15442,2223,6,13,2442,4
130,15430,2300,5,13,2430,4
131,15567,2234,6,13,2567,4
132,15454,2340,6,13,2454,4
133,15744,2254,6,13,2744,4
134,16001,2844,5,13,3001,4
135,16493,2272,6,14,2493,5
136,16506,2265,5,14,2506,5
137,21899,2213,9,17,4899,5
138,26159,2243,6,23,3159,15
139,15327,2322,6,13,2327,4
140,14707,2187,6,12,2707,3
141,11238,2312,6,8,3238,0
142,19970,2433,6,17,2970,8
143,16040,2355,6,13,3040,4
144,15999,2367,5,13,2999,4
145,15947,2435,5,13,2947,4
146,15819,2304,6,13,2819,4
147,15944,2374,6,13,2944,4
148,15026,2347,6,12,3026,3
149,17591,2333,7,15,2591,4
150,14204,2365,6,11,3204,2
151,15264,2477,6,12,3264,3
152,15008,2424,6,12,3008,3
153,16268,2341,6,13,3268,4
154,15867,2439,6,13,2867,4
155,15289,2234,5,13,2289,4
156,14980,2371,6,12,2980,3
157,15177,2320,6,12,3177,4
158,15539,2330,6,13,2539,4
159,15964,2311,6,13,2964,4
160,15095,2258,6,12,3095,3
161,15922,2439,6,13,2922,4
162,15960,2336,6,13,2960,4
163,16186,2425,6,13,3186,4
164,14950,2654,6,12,2950,2
165,15408,2484,6,13,2408,3
166,15335,2513,6,12,3335,3
167,16229,2304,6,13,3229,4
168,20593,2328,11,17,3593,3
169,25545,2419,6,23,2545,14
170,14991,2391,6,12,2991,3
171,16078,2316,6,13,3078,4
172,15956,2441,6,13,2956,4
173,15440,2361,6,13,2440,4
174,15549,2450,6,13,2549,4
175,14848,2411,6,12,2848,3
176,15617,2344,6,13,2617,4
177,15012,2390,6,12,3012,3
178,15113,2375,6,12,3113,3
179,15973,2380,6,13,2973,4
180,16088,2320,6,13,3088,4
181,14733,2397,6,12,2733,3
182,15760,2323,6,13,2760,4
183,15254,2304,6,12,3254,4
184,14986,2262,6,12,2986,3
185,14790,2298,6,12,2790,3
186,16140,2312,6,13,3140,5
187,15244,2281,6,13,2244,4
188,17891,2312,12,15,2891,0
189,13886,2268,6,11,2886,3
190,15676,2272,6,13,2676,4
191,15291,2285,6,13,2291,4
192,14927,2277,6,12,2927,3
193,15999,2246,6,13,2999,5
194,15271,2379,6,13,2271,4
195,15260,2327,6,12,3260,4
196,10834,2260,6,8,2834,0
197,20245,2459,6,17,3245,9
198,16106,2428,6,13,3106,5
199,14763,2522,5,12,2763,3
200,15553,2236,6,13,2553,4
