elapsed_ms,pid,working_set_bytes,private_bytes,cpu_seconds
19,54604,7737344,2265088,0.015625
1049,54604,16736256,3948544,0.0625
2063,54604,17227776,4304896,0.34375
3077,54604,17526784,4599808,0.59375
4088,54604,17973248,4997120,0.6875
5111,54604,18432000,5394432,0.703125
6122,54604,18812928,5783552,0.84375
7142,54604,19271680,6180864,0.875
8161,54604,19705856,6561792,0.9375
9182,54604,20045824,6914048,1.046875
10189,54604,20254720,7065600,1.171875
11203,54604,20340736,7147520,1.421875
12221,54604,20496384,7221248,1.53125
13242,54604,20803584,7471104,1.65625
14263,54604,20811776,7471104,1.8125
15274,54604,20938752,7540736,1.859375
16282,54604,21041152,7610368,1.984375
