elapsed_s,rss_bytes,private_bytes,cpu_s
0.004,7360512,987136,0.015625
1.096,14737408,2842624,0.015625
2.117,14766080,2867200,0.03125
3.134,14893056,3006464,0.046875
4.146,14934016,3039232,0.125
5.163,15073280,3186688,0.15625
6.177,15192064,3321856,0.203125
7.19,15216640,3321856,0.234375
8.212,15343616,3457024,0.3125
9.231,15368192,3485696,0.34375
10.249,15511552,3620864,0.359375
11.26,15519744,3620864,0.375
12.274,15650816,3756032,0.40625
13.288,15781888,3891200,0.421875
14.31,15785984,3891200,0.421875
15.326,16109568,4239360,0.46875
16.34,16117760,4239360,0.5625
17.354,16130048,4239360,0.609375
18.363,16375808,4513792,0.671875
19.384,16408576,4538368,0.71875
20.403,16416768,4538368,0.78125
21.419,16666624,4812800,0.875
22.431,16674816,4812800,0.953125
23.449,16683008,4812800,0.96875
24.465,16932864,5087232,1
25.481,16945152,5087232,1.078125
26.492,16953344,5087232,1.109375
27.511,17211392,5365760,1.1875
28.524,17215488,5365760,1.203125
29.541,17215488,5365760,1.28125
30.551,17174528,5283840,1.3125
31.565,17174528,5283840,1.359375
32.586,17174528,5283840,1.453125
33.603,17174528,5283840,1.5
34.62,17174528,5283840,1.53125
35.642,17174528,5283840,1.546875
36.655,17174528,5283840,1.578125
37.669,17174528,5283840,1.609375
38.682,17174528,5283840,1.65625
39.698,17174528,5283840,1.703125
40.716,17174528,5283840,1.8125
41.729,17670144,5787648,1.828125
42.744,17686528,5787648,1.859375
43.758,17711104,5795840,1.875
44.773,17739776,5824512,1.953125
45.789,17739776,5824512,2.015625
46.802,17739776,5824512,2.015625
47.813,17760256,5844992,2.078125
48.833,17760256,5844992,2.109375
49.851,17825792,5980160,2.109375
50.868,17879040,6017024,2.140625
51.889,17879040,6017024,2.171875
52.905,17879040,6017024,2.203125
53.92,17932288,6094848,2.28125
54.933,17932288,6094848,2.28125
55.944,17932288,6094848,2.3125
56.96,17936384,6094848,2.34375
57.987,17936384,6094848,2.359375
59.007,17936384,6094848,2.359375
60.899,17940480,6094848,2.390625
61.916,17960960,6094848,2.390625
62.937,17960960,6094848,2.390625
63.953,17960960,6094848,2.390625
64.965,17960960,6094848,2.390625
65.978,17960960,6094848,2.390625
66.992,17960960,6094848,2.390625
68.008,17960960,6094848,2.453125
69.039,17960960,6094848,2.453125
70.047,17960960,6094848,2.484375
71.067,17981440,6115328,2.546875
72.08,17981440,6115328,2.5625
73.097,17981440,6115328,2.59375
74.116,17981440,6115328,2.609375
75.135,17981440,6115328,2.640625
76.144,18034688,6168576,2.65625
77.161,18034688,6168576,2.671875
78.17,18034688,6168576,2.6875
79.185,18034688,6168576,2.71875
80.203,18038784,6172672,2.796875
81.221,18038784,6172672,2.796875
82.24,18038784,6172672,2.828125
83.259,18055168,6189056,2.859375
84.271,18055168,6189056,2.859375
85.289,18055168,6189056,2.90625
86.31,18063360,6197248,2.96875
87.33,18063360,6197248,2.984375
88.343,18063360,6197248,3.015625
89.359,18063360,6197248,3.03125
90.371,18063360,6197248,3.09375
91.39,18063360,6197248,3.140625
92.407,18079744,6213632,3.15625
93.42,18079744,6213632,3.21875
94.438,18079744,6213632,3.28125
95.45,18079744,6213632,3.375
96.463,18079744,6213632,3.40625
97.478,18079744,6213632,3.421875
98.491,18079744,6213632,3.421875
99.505,18079744,6213632,3.484375
100.52,18079744,6213632,3.515625
101.533,18079744,6213632,3.53125
102.545,18079744,6213632,3.5625
103.556,18079744,6213632,3.5625
104.571,18079744,6213632,3.578125
105.591,18079744,6213632,3.671875
106.609,18079744,6213632,3.6875
107.621,18079744,6213632,3.75
108.637,18079744,6213632,3.8125
109.646,18079744,6213632,3.828125
110.656,18079744,6213632,3.859375
111.666,18079744,6213632,3.921875
112.68,18079744,6213632,3.9375
113.693,18079744,6213632,3.96875
114.716,18079744,6213632,4.046875
115.735,18079744,6213632,4.109375
116.752,18079744,6213632,4.140625
117.766,18079744,6213632,4.171875
118.78,18079744,6213632,4.203125
119.796,18079744,6213632,4.203125
120.81,18079744,6213632,4.203125
121.826,18079744,6213632,4.21875
122.841,18079744,6213632,4.28125
123.856,18079744,6213632,4.34375
124.871,18079744,6213632,4.390625
125.887,18079744,6213632,4.40625
126.906,18079744,6213632,4.453125
127.917,18079744,6213632,4.515625
128.934,18079744,6213632,4.546875
129.944,18079744,6213632,4.578125
130.967,18079744,6213632,4.59375
131.987,18087936,6221824,4.59375
133.007,18087936,6221824,4.65625
134.02,18087936,6221824,4.65625
135.036,18087936,6221824,4.703125
136.05,18087936,6221824,4.75
137.062,18087936,6221824,4.78125
138.071,18087936,6221824,4.78125
139.087,18087936,6221824,4.796875
140.099,18087936,6221824,4.8125
141.113,18087936,6221824,4.84375
142.129,18087936,6221824,4.859375
143.147,18092032,6221824,4.890625
144.169,18108416,6238208,4.90625
145.183,18108416,6238208,4.921875
146.2,18108416,6238208,5
147.24,18108416,6238208,5.046875
148.255,18108416,6238208,5.109375
149.273,18108416,6238208,5.140625
150.291,18108416,6238208,5.171875
151.302,18108416,6238208,5.234375
152.318,18108416,6238208,5.234375
153.342,18108416,6238208,5.265625
154.356,18108416,6238208,5.28125
155.37,18108416,6238208,5.34375
156.384,18108416,6238208,5.390625
157.409,18108416,6238208,5.390625
158.421,18108416,6238208,5.40625
159.434,18108416,6238208,5.453125
160.447,18108416,6238208,5.453125
161.463,18108416,6238208,5.46875
162.476,18108416,6238208,5.515625
163.493,18108416,6238208,5.53125
164.512,18108416,6238208,5.53125
165.528,18108416,6238208,5.53125
166.541,18108416,6238208,5.53125
167.554,18116608,6254592,5.53125
168.57,18116608,6254592,5.53125
169.59,18116608,6254592,5.546875
170.604,18116608,6254592,5.546875
171.616,18116608,6254592,5.546875
172.632,18116608,6254592,5.546875
173.648,18116608,6254592,5.546875
174.661,18116608,6254592,5.5625
175.676,18116608,6254592,5.5625
176.691,18116608,6254592,5.578125
177.703,18116608,6254592,5.625
178.714,18116608,6254592,5.640625
179.728,18116608,6254592,5.65625
180.744,18116608,6254592,5.75
181.759,18116608,6254592,5.78125
182.769,18116608,6254592,5.78125
183.779,18116608,6254592,5.796875
184.797,18116608,6254592,5.828125
185.809,18116608,6254592,5.875
186.824,18116608,6254592,5.921875
187.838,18116608,6254592,5.953125
188.847,18116608,6254592,5.953125
189.858,18116608,6254592,5.96875
190.87,18116608,6254592,6
191.879,18116608,6254592,6.015625
192.89,18116608,6254592,6.046875
193.899,18116608,6254592,6.109375
194.913,18116608,6254592,6.171875
195.926,18116608,6254592,6.1875
196.936,18116608,6254592,6.265625
197.949,18116608,6254592,6.265625
198.964,18116608,6254592,6.28125
199.978,18116608,6254592,6.34375
200.992,18116608,6254592,6.359375
202.005,18116608,6254592,6.375
203.014,18116608,6254592,6.375
204.028,18116608,6254592,6.46875
205.043,18116608,6254592,6.5625
206.062,18116608,6254592,6.5625
207.083,18116608,6254592,6.59375
208.103,18116608,6254592,6.640625
209.113,18116608,6254592,6.640625
210.128,18116608,6254592,6.640625
211.138,18116608,6254592,6.671875
212.153,18116608,6254592,6.6875
213.165,18116608,6254592,6.703125
214.181,18116608,6254592,6.75
215.194,18116608,6254592,6.75
216.209,18116608,6254592,6.765625
217.221,18116608,6254592,6.796875
218.234,18116608,6254592,6.796875
219.248,18116608,6254592,6.84375
220.266,18116608,6254592,6.859375
221.281,18116608,6254592,6.890625
222.294,18116608,6254592,6.90625
223.31,18116608,6254592,6.921875
224.328,18116608,6254592,7
225.342,18116608,6254592,7.03125
226.357,18116608,6254592,7.09375
227.378,18116608,6254592,7.09375
228.395,18116608,6254592,7.109375
229.407,18116608,6254592,7.171875
230.424,18116608,6254592,7.25
231.442,18116608,6254592,7.25
232.457,18116608,6254592,7.25
233.473,18116608,6254592,7.25
234.482,18116608,6254592,7.25
235.501,18116608,6254592,7.296875
236.515,18116608,6254592,7.3125
237.529,18116608,6254592,7.390625
238.543,18116608,6254592,7.40625
239.561,18116608,6254592,7.421875
240.577,18116608,6254592,7.4375
241.59,18116608,6254592,7.484375
242.609,18116608,6254592,7.515625
243.624,18116608,6254592,7.53125
244.637,18116608,6254592,7.5625
245.652,18116608,6254592,7.640625
246.666,18116608,6254592,7.703125
247.682,18116608,6254592,7.703125
248.696,18116608,6254592,7.734375
249.71,18116608,6254592,7.75
250.728,18116608,6254592,7.765625
251.748,18116608,6254592,7.796875
252.761,18116608,6254592,7.796875
253.779,18116608,6254592,7.828125
254.794,18116608,6254592,7.859375
255.809,18116608,6254592,7.875
256.824,18116608,6254592,7.921875
257.836,18116608,6254592,7.96875
258.861,18116608,6254592,7.96875
259.879,18116608,6254592,7.984375
260.893,18116608,6254592,8
261.907,18116608,6254592,8.03125
262.922,18116608,6254592,8.078125
263.936,18116608,6254592,8.140625
264.947,18116608,6254592,8.171875
265.959,18116608,6254592,8.21875
266.977,18116608,6254592,8.21875
267.991,18116608,6254592,8.25
269.005,18116608,6254592,8.25
270.019,18116608,6254592,8.265625
271.039,18116608,6254592,8.28125
272.056,18116608,6254592,8.296875
273.073,18116608,6254592,8.3125
274.084,18116608,6254592,8.328125
275.095,18116608,6254592,8.375
276.109,18116608,6254592,8.40625
277.127,18116608,6254592,8.421875
278.142,18116608,6254592,8.421875
279.151,18116608,6254592,8.453125
280.162,18116608,6254592,8.46875
281.176,18116608,6254592,8.46875
282.185,18116608,6254592,8.5
283.199,18116608,6254592,8.5
284.211,18116608,6254592,8.546875
285.226,18116608,6254592,8.609375
286.237,18116608,6254592,8.625
287.256,18124800,6262784,8.671875
288.282,18124800,6262784,8.71875
289.295,18124800,6262784,8.71875
290.307,18124800,6262784,8.765625
291.323,18124800,6262784,8.78125
292.336,18124800,6262784,8.796875
293.36,18132992,6262784,8.875
294.372,18132992,6262784,8.890625
295.386,18132992,6262784,8.953125
296.4,18132992,6262784,9.015625
297.412,18132992,6262784,9.0625
298.428,18153472,6295552,9.109375
299.444,18153472,6295552,9.140625
300.459,18272256,6356992,9.1875
301.473,18272256,6356992,9.21875
302.49,18272256,6356992,9.28125
303.501,18272256,6356992,9.296875
304.515,18272256,6356992,9.3125
305.526,18272256,6356992,9.328125
306.543,18272256,6356992,9.328125
307.556,18272256,6356992,9.390625
308.568,18272256,6356992,9.390625
309.586,18272256,6356992,9.390625
310.61,18272256,6356992,9.453125
311.618,18272256,6356992,9.484375
312.628,18272256,6356992,9.5
313.638,18272256,6356992,9.546875
314.656,18272256,6356992,9.578125
315.671,18272256,6356992,9.59375
316.683,18272256,6356992,9.625
317.697,18272256,6356992,9.625
318.711,18272256,6356992,9.65625
319.725,18272256,6356992,9.6875
320.742,18272256,6356992,9.765625
321.75,18272256,6356992,9.8125
322.764,18272256,6356992,9.84375
323.777,18272256,6356992,9.875
324.791,18272256,6356992,9.90625
325.804,18272256,6356992,9.921875
326.821,18272256,6356992,9.984375
327.832,18272256,6356992,10.078125
328.841,18272256,6356992,10.109375
329.856,18272256,6356992,10.1875
330.867,18276352,6356992,10.203125
331.879,18284544,6356992,10.28125
332.891,18284544,6356992,10.34375
333.909,18284544,6356992,10.359375
334.924,18284544,6356992,10.390625
335.94,18284544,6356992,10.421875
336.97,18284544,6356992,10.484375
337.984,18284544,6356992,10.484375
339.003,18284544,6356992,10.5
340.013,18284544,6356992,10.5625
341.031,18284544,6356992,10.5625
342.047,18284544,6356992,10.5625
343.066,18284544,6356992,10.578125
344.074,18284544,6356992,10.625
345.092,18284544,6356992,10.6875
346.119,18284544,6356992,10.75
347.133,18284544,6356992,10.828125
348.149,18284544,6356992,10.875
349.161,18284544,6356992,10.890625
350.173,18284544,6356992,10.921875
351.188,18284544,6356992,10.96875
352.205,18284544,6356992,11
353.218,18284544,6356992,11
354.232,18284544,6356992,11.078125
355.244,18284544,6356992,11.15625
356.258,18284544,6356992,11.1875
357.276,18284544,6356992,11.25
358.287,18284544,6356992,11.28125
359.301,18284544,6356992,11.3125
360.311,18284544,6356992,11.328125
361.339,18284544,6356992,11.375
362.354,18284544,6356992,11.40625
363.366,18284544,6356992,11.453125
364.379,18284544,6356992,11.484375
365.392,18284544,6356992,11.5
366.406,18284544,6356992,11.53125
367.417,18284544,6356992,11.578125
368.432,18284544,6356992,11.6875
369.447,18284544,6356992,11.75
370.459,18284544,6356992,11.765625
371.47,18284544,6356992,11.78125
372.481,18284544,6356992,11.828125
373.495,18284544,6356992,11.84375
374.518,18284544,6356992,11.90625
375.53,18284544,6356992,11.96875
376.543,18284544,6356992,11.96875
377.559,18284544,6356992,12.03125
378.568,18284544,6356992,12.0625
379.579,18284544,6356992,12.09375
380.592,18284544,6356992,12.109375
381.614,18284544,6356992,12.109375
382.623,18284544,6356992,12.171875
383.64,18284544,6356992,12.1875
384.652,18284544,6356992,12.203125
385.679,18284544,6356992,12.28125
386.692,18284544,6356992,12.3125
387.708,18284544,6356992,12.34375
388.725,18284544,6356992,12.46875
389.738,18284544,6356992,12.484375
390.748,18284544,6356992,12.515625
391.764,18284544,6356992,12.53125
392.779,18284544,6356992,12.546875
393.789,18284544,6356992,12.5625
394.802,18284544,6356992,12.59375
395.813,18284544,6356992,12.65625
396.827,18284544,6356992,12.703125
397.838,18284544,6356992,12.796875
398.861,18284544,6356992,12.890625
399.873,18284544,6356992,12.9375
400.885,18284544,6356992,12.96875
401.911,18284544,6356992,13.015625
402.951,18268160,6295552,13.03125
403.961,18268160,6295552,13.046875
404.973,18268160,6295552,13.078125
405.995,18268160,6295552,13.078125
407.005,18268160,6295552,13.15625
408.026,18268160,6295552,13.203125
409.036,18268160,6295552,13.203125
410.058,18268160,6295552,13.21875
411.068,18268160,6295552,13.234375
412.078,18268160,6295552,13.265625
413.087,18268160,6295552,13.28125
414.096,18268160,6295552,13.359375
415.106,18268160,6295552,13.390625
416.119,18268160,6295552,13.40625
417.135,18268160,6295552,13.4375
418.143,18268160,6295552,13.5
419.167,18268160,6295552,13.609375
420.18,18268160,6295552,13.65625
421.193,18268160,6295552,13.6875
422.205,18268160,6295552,13.703125
423.219,18268160,6295552,13.734375
424.236,18268160,6295552,13.75
425.249,18268160,6295552,13.78125
426.273,18268160,6295552,13.828125
427.286,18268160,6295552,13.859375
428.295,18268160,6295552,13.890625
429.306,18268160,6295552,13.921875
430.316,18268160,6295552,13.96875
431.329,18268160,6295552,14
432.346,18268160,6295552,14
433.363,18268160,6295552,14.015625
434.374,18268160,6295552,14.0625
435.386,18268160,6295552,14.0625
