cycle,elapsed_us
0,1
1,3
2,1
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,1
11,1
12,1
13,2
14,2
15,2
16,1
17,2
18,1
19,2
20,3
21,2
22,2
23,2
24,2
25,2
26,1
27,2
28,2
29,2
30,3
31,1
32,2
33,1
34,2
35,2
36,1
37,2
38,1
39,1
40,1
41,2
42,2
43,2
44,1
45,2
46,2
47,2
48,2
49,1
50,2
51,2
52,2
53,2
54,2
55,1
56,2
57,2
58,2
59,4
60,3
61,4
62,2
63,2
64,1
65,2
66,2
67,5
68,2
69,3
70,2
71,2
72,2
73,1
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,1
95,1
96,2
97,1
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,1
108,2
109,2
110,2
111,1
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,3
120,2
121,1
122,2
123,2
124,1
125,1
126,2
127,2
128,2
129,2
130,3
131,2
132,3
133,1
134,2
135,2
136,2
137,2
138,2
139,1
140,1
141,1
142,2
143,1
144,1
145,2
146,2
147,2
148,2
149,2
150,1
151,2
152,2
153,2
154,1
155,2
156,1
157,2
158,2
159,2
160,1
161,2
162,2
163,2
164,1
165,2
166,2
167,1
168,2
169,3
170,1
171,2
172,2
173,2
174,1
175,1
176,3
177,2
178,1
179,2
180,1
181,3
182,2
183,1
184,2
185,1
186,1
187,1
188,2
189,1
190,2
191,1
192,2
193,2
194,1
195,1
196,2
197,1
198,3
199,2
200,1
201,2
202,1
203,3
204,2
205,2
206,2
207,2
208,2
209,1
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,2
218,3
219,2
220,1
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,1
230,1
231,2
232,2
233,2
234,2
235,1
236,2
237,2
238,2
239,3
240,1
241,2
242,1
243,2
244,2
245,1
246,2
247,2
248,1
249,2
250,1
251,2
252,2
253,2
254,2
255,3
256,2
257,2
258,2
259,1
260,1
261,1
262,2
263,4
264,2
265,2
266,5
267,4
268,1
269,2
270,2
271,2
272,2
273,2
274,2
275,2
276,2
277,2
278,2
279,2
280,5
281,2
282,1
283,2
284,1
285,2
286,2
287,1
288,2
289,1
290,2
291,1
292,2
293,1
294,2
295,2
296,2
297,1
298,2
299,1
300,2
301,2
302,3
303,1
304,1
305,2
306,2
307,2
308,1
309,2
310,1
311,1
312,2
313,2
314,2
315,2
316,1
317,2
318,2
319,3
320,3
321,2
322,1
323,2
324,2
325,2
326,2
327,2
328,3
329,1
330,2
331,2
332,2
333,1
334,2
335,1
336,2
337,2
338,2
339,3
340,1
341,2
342,1
343,2
344,2
345,2
346,4
347,2
348,2
349,2
350,2
351,2
352,2
353,2
