experiment,index,elapsed_us,phase,acceptance
warm,0, 77663,completed,unchecked
warm,1, 44206,completed,unchecked
warm,2, 81341,completed,unchecked
warm,3, 57467,completed,unchecked
warm,4, 29198,completed,unchecked
warm,5, 30499,completed,unchecked
warm,6, 30068,completed,unchecked
warm,7, 92719,completed,unchecked
warm,8, 30594,completed,unchecked
warm,9, 28644,completed,unchecked
warm,10, 32421,completed,unchecked
warm,11, 33808,completed,unchecked
warm,12, 42557,completed,unchecked
warm,13, 104612,completed,unchecked
warm,14, 32058,completed,unchecked
warm,15, 49604,completed,unchecked
warm,16, 59455,completed,unchecked
warm,17, 33181,completed,unchecked
warm,18, 33614,completed,unchecked
warm,19, 30670,completed,unchecked
warm,20, 40202,completed,unchecked
warm,21, 40312,completed,unchecked
warm,22, 49688,completed,unchecked
warm,23, 35225,completed,unchecked
warm,24, 35312,completed,unchecked
warm,25, 43688,completed,unchecked
warm,26, 105946,completed,unchecked
warm,27, 61851,completed,unchecked
warm,28, 91217,completed,unchecked
warm,29, 89462,completed,unchecked
warm,30, 32765,completed,unchecked
warm,31, 38371,completed,unchecked
warm,32, 36916,completed,unchecked
warm,33, 38210,completed,unchecked
warm,34, 113654,completed,unchecked
warm,35, 32493,completed,unchecked
warm,36, 35044,completed,unchecked
warm,37, 44615,completed,unchecked
warm,38, 29978,completed,unchecked
warm,39, 79956,completed,unchecked
warm,40, 44043,completed,unchecked
warm,41, 29737,completed,unchecked
warm,42, 33267,completed,unchecked
warm,43, 35722,completed,unchecked
warm,44, 26656,completed,unchecked
warm,45, 28773,completed,unchecked
warm,46, 30004,completed,unchecked
warm,47, 35434,completed,unchecked
warm,48, 27783,completed,unchecked
warm,49, 29414,completed,unchecked
warm,50, 27606,completed,unchecked
warm,51, 37799,completed,unchecked
warm,52, 31639,completed,unchecked
warm,53, 40835,completed,unchecked
warm,54, 55423,completed,unchecked
warm,55, 35344,completed,unchecked
warm,56, 31977,completed,unchecked
warm,57, 34805,completed,unchecked
warm,58, 27795,completed,unchecked
warm,59, 37757,completed,unchecked
warm,60, 45845,completed,unchecked
warm,61, 33103,completed,unchecked
warm,62, 50023,completed,unchecked
warm,63, 32190,completed,unchecked
warm,64, 43299,completed,unchecked
warm,65, 30384,completed,unchecked
warm,66, 30678,completed,unchecked
warm,67, 30423,completed,unchecked
warm,68, 36832,completed,unchecked
warm,69, 38675,completed,unchecked
warm,70, 73743,completed,unchecked
warm,71, 36501,completed,unchecked
warm,72, 30488,completed,unchecked
warm,73, 45746,completed,unchecked
warm,74, 31517,completed,unchecked
warm,75, 30968,completed,unchecked
warm,76, 36587,completed,unchecked
warm,77, 40430,completed,unchecked
warm,78, 45337,completed,unchecked
warm,79, 30919,completed,unchecked
warm,80, 32150,completed,unchecked
warm,81, 30030,completed,unchecked
warm,82, 33222,completed,unchecked
warm,83, 43632,completed,unchecked
warm,84, 30182,completed,unchecked
warm,85, 29990,completed,unchecked
warm,86, 31126,completed,unchecked
warm,87, 46928,completed,unchecked
warm,88, 46443,completed,unchecked
warm,89, 66418,completed,unchecked
warm,90, 43074,completed,unchecked
warm,91, 37517,completed,unchecked
warm,92, 38937,completed,unchecked
warm,93, 40927,completed,unchecked
warm,94, 82427,completed,unchecked
warm,95, 45305,completed,unchecked
warm,96, 77029,completed,unchecked
warm,97, 77167,completed,unchecked
warm,98, 54194,completed,unchecked
warm,99, 36494,completed,unchecked
warm,100, 31853,completed,unchecked
warm,101, 92451,completed,unchecked
warm,102, 43949,completed,unchecked
warm,103, 37353,completed,unchecked
warm,104, 33206,completed,unchecked
warm,105, 27571,completed,unchecked
warm,106, 42911,completed,unchecked
warm,107, 35456,completed,unchecked
warm,108, 41814,completed,unchecked
warm,109, 29541,completed,unchecked
warm,110, 44471,completed,unchecked
warm,111, 31290,completed,unchecked
warm,112, 30100,completed,unchecked
warm,113, 46547,completed,unchecked
warm,114, 29944,completed,unchecked
warm,115, 40041,completed,unchecked
warm,116, 37399,completed,unchecked
warm,117, 31817,completed,unchecked
warm,118, 44708,completed,unchecked
warm,119, 34282,completed,unchecked
warm,120, 42301,completed,unchecked
warm,121, 46161,completed,unchecked
warm,122, 35648,completed,unchecked
warm,123, 41122,completed,unchecked
warm,124, 31030,completed,unchecked
warm,125, 30895,completed,unchecked
warm,126, 31678,completed,unchecked
warm,127, 31638,completed,unchecked
warm,128, 43542,completed,unchecked
warm,129, 33255,completed,unchecked
warm,130, 42666,completed,unchecked
warm,131, 33403,completed,unchecked
warm,132, 34990,completed,unchecked
warm,133, 39473,completed,unchecked
warm,134, 35400,completed,unchecked
warm,135, 34430,completed,unchecked
warm,136, 28478,completed,unchecked
warm,137, 102065,completed,unchecked
warm,138, 61490,completed,unchecked
warm,139, 32119,completed,unchecked
warm,140, 44183,completed,unchecked
warm,141, 31835,completed,unchecked
warm,142, 31847,completed,unchecked
warm,143, 31089,completed,unchecked
warm,144, 28415,completed,unchecked
warm,145, 30626,completed,unchecked
warm,146, 42390,completed,unchecked
warm,147, 32939,completed,unchecked
warm,148, 51698,completed,unchecked
warm,149, 38049,completed,unchecked
warm,150, 34819,completed,unchecked
warm,151, 29022,completed,unchecked
warm,152, 45531,completed,unchecked
warm,153, 30550,completed,unchecked
warm,154, 44585,completed,unchecked
warm,155, 32304,completed,unchecked
warm,156, 43865,completed,unchecked
warm,157, 32687,completed,unchecked
warm,158, 43347,completed,unchecked
warm,159, 33088,completed,unchecked
warm,160, 32387,completed,unchecked
warm,161, 25951,completed,unchecked
warm,162, 30690,completed,unchecked
warm,163, 32209,completed,unchecked
warm,164, 44987,completed,unchecked
warm,165, 44047,completed,unchecked
warm,166, 30650,completed,unchecked
warm,167, 33055,completed,unchecked
warm,168, 58710,completed,unchecked
warm,169, 36972,completed,unchecked
warm,170, 38804,completed,unchecked
warm,171, 102516,completed,unchecked
warm,172, 77818,completed,unchecked
warm,173, 65766,completed,unchecked
warm,174, 65912,completed,unchecked
warm,175, 117254,completed,unchecked
warm,176, 35421,completed,unchecked
warm,177, 46276,completed,unchecked
warm,178, 61651,completed,unchecked
warm,179, 47470,completed,unchecked
warm,180, 48809,completed,unchecked
warm,181, 24823,completed,unchecked
warm,182, 85530,completed,unchecked
warm,183, 54933,completed,unchecked
warm,184, 35706,completed,unchecked
warm,185, 44241,completed,unchecked
warm,186, 27340,completed,unchecked
warm,187, 63455,completed,unchecked
warm,188, 91076,completed,unchecked
warm,189, 78605,completed,unchecked
warm,190, 45225,completed,unchecked
warm,191, 46503,completed,unchecked
warm,192, 43015,completed,unchecked
warm,193, 41053,completed,unchecked
warm,194, 34545,completed,unchecked
warm,195, 101388,completed,unchecked
warm,196, 63573,completed,unchecked
warm,197, 28327,completed,unchecked
warm,198, 31201,completed,unchecked
warm,199, 32470,completed,unchecked
warm,200, 26059,completed,unchecked
warm,201, 30443,completed,unchecked
warm,202, 31832,completed,unchecked
warm,203, 76467,completed,unchecked
warm,204, 66720,completed,unchecked
warm,205, 56062,completed,unchecked
warm,206, 30176,completed,unchecked
warm,207, 61297,completed,unchecked
warm,208, 33934,completed,unchecked
warm,209, 67806,completed,unchecked
warm,210, 64612,completed,unchecked
warm,211, 35746,completed,unchecked
warm,212, 34932,completed,unchecked
warm,213, 28913,completed,unchecked
warm,214, 27900,completed,unchecked
